DE;EN
Grippe 1;Influenza 1
Grippe Basis 1;Influenza 1
Grippe 2;Influenza 2
Grippesymptome;Influenza Symptoms
Grippe Virus Basis;Influenza Virus
Grippe B-Virus;Influenza Virus A
Influenza A und B-HC;Influenza Virus A and B HC
Hohes Fieber bei Grippe;Influenza with High Fever
Influenzum Giftig;Influenzum Toxic
Leistenbruch;Inguinal Hernia
Innere Unruhe;Inner Anxiety 1
Innenohr;Inner ear
Innenohr 1;Inner Ear 1
Insektenstiche;Insect Stings
Schlaflosigkeit;Insomnia
Schlaflosigkeit 1;Insomnia 1
Schlaflosigkeit 2;Insomnia 2
Schlaflosigkeit 3;Insomnia 3
Schlaflosigkeit 4;Insomnia 4
Schlaflosigkeit 5;Insomnia 5
Schlaflosigkeit 6;Insomnia 6
Kreislaufversagen;Insufficiency of Blood Circulation
Insulin Überschuss;Insulin-Excessive
Insulinmangel;Insulin-Excessive
Zwischenrippenmuskeln Schmerzen;Intercoastal Muscles Pain
Nervenschmerzen Brust-Zwischenrippe;Intercostal Neuralgia
Interleukin;Interleukin
Atonie Darm;Intestinal Atony
Darm-Schäden;Intestinal Iinjuries
Darm-Motilität;Intestinal Motility
Darm Verstopfung;Intestinal Obstruction
Darm Verstopfung 1;Intestinal Obstruction 1
Lähmung des Darms;Intestinal Paralysis
Dünndarm-Parasiten;Intestinal Parasites
Darm-Verletzung;Intestinal Paresis
Darmtrakt;Intestinal Tract
Darm 1;Intestine 1
Darm-Funktionsstörung;Intestine Disorders
Darmstörung;Intestine Disorders
Darmkrämpfe;Intestine Spasm
Darmschließmuskel;Intestine Sphintcters
Darm-Geschwür 1;Intestine-Ulcer
Entwässerung;Intoxication Heavy Metals Salts
Intrakranielle Hypertension;Intracranial Hypertension
Hirndruck;Intracranial Pressure
Infektion-Allergisches Asthma;Intrinsic Asthma
Intuition;Intuition
Reizung der Gesichtsnerven;Irritated Facial Nerve
Ischämische Lähmung (Schlaganfall);Ischemic Paralysis
Ischias;Ischias
Ischias 1;Ischias 1
Fuß Juckreiz;Itchy Feet
Gelbsucht;Jaundice
Eiterkiefer;Jaw Abscess
Kieferentzündung;Jaw Inflammation
Knorpel in Gelenken 3;Joint Cartilage-3
Gelenkschmerzen;Joint Pain
Gelenkschmerzen 2;Joint Pain
Gelenkkopfschmerz;Joint Pain and Headache
Gelenkschmerzen Basis;Joint Pain-Basic
Gelenksteife;Joint Stiffness
Gelenke;Joints
Gelenksknorpel;Joints Cartilage
Knorpel in Gelenken 2;Joints Cartilage 2
Gelenke 2;Joints-2
Zentrum der Freude;Joy Centre
Zentrum Freude 2;Joy Centre 2
Zentrum Freude 3;Joy Centre 3
Zentrum der Freude 4;Joy Centre 4
Junge Arthritis;Juvenile Arthritis
Juxta glomeruläre Regulierung;Juxtaglomerular Regulation
Hornhaut;Keratoderma
Nierenzyste;Kidney Cyst
Nierenzyste 1;Kidney Cyst
Ekzem-Niere;Kidney Eczema
Nierenversagen;Kidney Failure
Nierenpapilom;Kidney Papilloma
Nieren-Modus;Kidney Pattern
Nierensteine 1;Kidney Stones1
Nierensteine 2;Kidney Stones2
Nierensteine 3;Kidney Stones3
Nierensteine 4;Kidney Stones4
Nierensteine 5;Kidney Stones5
Nieren;Kidneys
Nieren 1;Kidneys 1
Nieren 2;Kidneys 2
Nieren-Aktivierung;Kidneys-Activation
Nieren Frequenzsteuerung 1;Kidneys-Control Frequencies
Nieren Frequenzsteuerung 2;Kidneys-Control Frequencies
Nieren-Stimulation;Kidneys-Stimulation
Nierensteine;Kindey Stones
Nierensteine ​​Resorption;Kindey Stonesdispertion
Knie;Knee
Arthritis des Knies;Knee Arthritis
Knieknorpel;Knee Cartilage
Knieknorpel 1;Knee Cartilages 1
Krämpfe im Knie 2;Knee Cramps 1
Kniegelenke;Knee Joint
Krämpfe im Kniegelenk;Knee Joint Spasm
Schwaches Kniegelenk;Knee Joint Weakness
Knieschmerzen;Knee Pain
Knie Steifigkeit;Knee Stiffness
Tuberkulose Koch;Koch's Tuberculosis
Stimulation von L-Lysin;L-Lysin Stimulation
Lac deflorat;Lac Deflorat
Appetitlosigkeit;Lack of Appetite
Appetitlosigkeit 2;Lack of Appetite
Kein Appetit 1;Lack of Appetite 1
Mangel an Kraft;Lack of Vivacity
Tränendrüse;Lacrimal Gland
Tränendrüse 2;Lacrimal Gland 2
Milchsäurebakterien;Lactobacillus
Dickdarm;Large Intestine
Dickdarm 1;Large Intestine 1
Dickdarm 2;Large Intestine 2
Dickdarm 3;Large Intestine 3
Kehlkopfentzündung;Laryngeal Edema
Kehlkopfpolypen;Laryngeal Polyp
Kehlkopfentzündung;Laryngitis
Laryngitis 1;Laryngitis 1
Kehlkopf;Larynx
Kehlkopf 1;Larynx 1
Kehlkopf 2;Larynx 2
Lateral Sklerose;Lateral Sclerosis
Abführende Wirkung;Laxative
Abführend;Laxative
Abführende Wirkung;Laxative Effect
Linken Nebenniere;Left Adrenal Gland
Nebennieren Links;Left Adrenal Gland
Geschwollene Beine;Leg Swelling
Schwellung der Füße;Leg Swelling
Geschwollene Füße 1;Leg Swelling 1
Geschwollene Beine 2;Leg Swelling 2
Legasthenie;Legasthenia
Legionellen;Legionella
Leishmaniose;Leishmaniosis
Leptopahimening;Leptopachymeningitis
Leptopachmengitis 2;Leptopachymeningitis 2
Leukorrhoe;Leucorrhoea
Leukämie;Leukemia
Leukozyten;Leukocytes
Leukozyten 1;Leukocytes 1
Leukozyten 2;Leukocytes 2
Leukozytose;Leukocytosis
Panenzephalitis;Leukoencephalitis
Leukopenie;Leukopenia
Leukoplakie;Leukoplakia
Leukose;Leukosis
Dehnung-Sehnen und Muskeln;Ligament and Muscle Strain and Sprains
Limbisches Zentrum;Limbic Centre
Das limbische System;Limbic System
Limbische System;Limbic System
Lymphe-Borreliose;Lime Disease
Lippe;Lip
Lipom;Lipoma
Alkoholentwöhnung;Liquor-Dynamics
Listerose;Listeria
Listeria;Listerios
Leber;Liver
Leber 1;Liver 1
Leber-Galle 1;Liver and Bile 1
Leber-Galle 2;Liver and Bile 2
Leber Juckreiz;Liver Itching
Parasiten Leber;Liver Parasites
Unterstützung der Leber;Liver Support
Trematoden Leber;Liver Trematodes
Leber-Gallenblase;Liver-Gall Bladder
Leber-Zucker;Liver-Sugar
Leber-Zucker 1;Liver-Sugar 1
Lokale Durchblutung;Local Blood Circulation
Lokale Durchblutung 1;Local Blood Circulation 1
Schlaffes Bindegewebe;Loose Connective Tissue
Abnahme der Appetit;Loss of Appetite
Appetitsenkung;Loss of Appetite
Unterkiefer 2;Low Jaw
Geringer sexueller Antrieb;Low Sexual Drive
Schwächung der Potenz;Low Sexual Drive
Temperatur niedrig;Low Temperature
Niedrige Temperatur;Low Temperature
Niedrige Temperatur 2;Low Temperature 2
Niedertemperatur 3;Low Temperature 3
Lendenschmerzen;Low-Back Pain
Unterkiefer;Lower Jaw
Luesinum-Syphiln;Luesinum-Syphiln
Hexenschuss Lumbago;Lumbago
Hexenschuss;Lumbago
Hexenschuss-Rückenschmerzen;Lumbago, Lumbar Myalgia
Lendenwirbelsäule;Lumbar Spine
Lendenwirbelsäule 1;Lumbar Spine 1
Verformung der Lendenwirbel;Lumbar Vertebrae Deformities
Lumbosakrale Nervenwurzelentzündung;Lumbosacral Radiculitis
Lungenabszess;Lung Abscess
Lungenstauung;Lung Congestion
Lunge;Lungs
Lunge 1;Lungs 1
Lungen 2;Lungs 2
Lupus/Tuberkulose-Haut;Lupus
Lupus;Lupus
Tuberkulose-Hau/Lupus 2;Lupus 2
Lupus-Schmetterling;Lupus Butterfly
Lupus Basis;Lupus-Basic
Lupus Grundsekundär;Lupus-Basic Secondary
Lupus Sekundär;Lupus-Secondary
Lymphe Zecken-Borreliose;Lyme Borreliosis
Lymphe;Lymph
Lymphen 1;Lymph
Lymphe 1;Lymph 1
Lymphen 2;Lymph 2
Lymphe und Entgiftung;Lymph and Detoxification
Lymphatisches Zentrum;Lymph Centre
Hypertrophie Lymphknoten;Lymph Nodes Hypertrophy
Lymphstimulation;Lymph Stimulation
Trematoden Lymphe;Lymph Trematodes
Lymphe-cf 2;Lymph-cf 2
Lymphe-Steuerfrequenz 1;Lymph-Control Frequencies 1
Lymphknotenentzündung;Lymphadenitis
Lymphgefäßentzündung;Lymphangitis
Lymphödem;Lymphatic Edema
Lymphödem 1;Lymphatic Edema 1
Lymphknoten 1;Lymphatic Glands 1
Lymphknoten 2;Lymphatic Glands 2
Lymphknoten;Lymphatic Nodes
Stimulation Lymphdrüsen;Lymphatic Nodes Stimulation
Das Lymphsystem;Lymphatic System
Lymphogen Schwellung;Lymphogenic Edema
Schwellung lymphogene 1;Lymphogenic Edema 1
Lymphogene Wirkung;Lymphogenic Effect
Lymphogranulomatose;Lymphogranulomatosis
Lymphologie;Lymphology
Lymphosarkom;Lymphosarcoma
Lymphosarcoma 1;Lymphosarcoma 1
Lymphostase;Lymphostasis
Lymphostase 1;Lymphostasis 1
Lysin Stimulation;Lysin Stimulation
Lyssinum;Lyssinum
Menière-Syndrom;M?ni?re's Syndrome
Magnesium;Magnesium
Magnesiummangel;Magnesium Deficiency
Magnesiummangel 1;Magnesium Deficiency 1
Magnesiummangel 2;Magnesium Deficiency 2
Malaria;Malaria
Falciparum-Malaria;Malaria Falciparum
Malasseziya;Malassezia
Schwächung des männlichen Organismus;Male Body Weakening
Männliches Urogenitalsystem;Male Genitourinary System
Männliche Unfruchtbarkeit 1;Male Infertility 1
Männliche Unfruchtbarkeit 2;Male Infertility 2
Lust Mann;Male Lust
Männliches Fortpflanzungssystem;Male Reproductive System
Männliche rechte Niere;Male-Left Kindey
Männer linke Niere;Male-Left Kindey
Männliche linke Niere;Male-Right Kindey
Männer rechte Niere;Male-Right Kindey
Fehlfunktion Syndrom;Malfunction Syndrome
Milchdrüse Fibroma;Mammary Gland Fibroma
Brustdrüsen;Mammary Glands
Milchdrüsen;Mammary Glands
Brustdrüsen 1;Mammary Glands 1
Brustdrüsen 2;Mammary Glands 2
Kiefer ausgerenkt;Mandibular Dislocation
Manie;Mania
Mannan;Mannan
Entzündung der Brustdrüse;Mastitis
Mastitis;Mastitis
Brusterkrankung 1;Mastopathy 1
Brusterkrankung 2;Mastopathy 2
Brusterkrankung 3;Mastopathy 3
Brusterkrankung 4;Mastopathy 4
Brusterkrankung 5;Mastopathy 5
Brusterkrankung 6;Mastopathy 6
Entgiftung - Matrix;Matrix Detoxification
Masern 3 Tag;Measels 3rd day
Masern 9 Tag;Measels 9th day
Masernvirus;Measels Virus
Masern Antigenvirus;Measels Virus Antigen
Masern-Röteln-Impfstoff;Measels-Rubella Vaccine
Masern-Impfstoff;Measles Vaccine
Medorrhinum;Medorrhinum
Melancholie;Melancholia
Melanom;Melanoma
Melanom 1;Melanoma 1
Melanom 2;Melanoma 2
Gedächtnis;Memory
Gedächtnis Zentrum;Memory Centre
Erinnerungszentrum;Memory Centre
Morbus Meniere;Meniere's Disease
Meningitis;Meningitis
Meningitis 1;Meningitis 1
Meningitis 2;Meningitis 2
Meningeale Kopfschmerzen;Meningitis Headache
Meningococcinum;Meningococcinum
Meniskus;Meniscus
Meniskus 1;Meniscus 1
Klimakterium;Menopause
Wechseljahre;Menopause
Klimakterium 1;Menopause 1
Klimakterium 2;Menopause 2
Klimakterium 3;Menopause 3
Klimakterium 4;Menopause 4
Klimakterium 5;Menopause 5
Klimakterium 6;Menopause 6
Symptome der Wechseljahre;Menopause Symptoms
Menopause/Klimakterium Basisprogramm;Menopause-Basic Programme
Menorrhagie;Menorrhagia
Menstruationszyklus;Menstrual Cycle
Menstruationsbeschwerden;Menstrual Molimina
Quecksilber-Ausleitung;Mercury Elimination
Metabolische Polyarthritis;Metabolic Poly-Arthritis
Stoffwechsel;Metabolism
Stoffwechsel 1;Metabolism
Stoffwechsel 2;Metabolism 2
Stoffwechsel 3;Metabolism 3
Meteopatiya;Meteopathia
Flatulenz;Meteorism
Methotrexat. Giftig;Methotrex. Toxic
Migräne;Migraine
Migräne 1;Migraine 1
Migräne 2;Migraine 2
Monilia;Monilia
Monotospora lang;Monotospora Lang
Morbillinum;Morbillinum
Bakterium Morgans;Morgan's Bacillus
Mückenstich;Mosquito Bite
Mückenstich 2;Mosquito Bite 2
Reisekrankheit;Motion Sickness
Bewegungszentrum;Motor Centre
Störung der motorischen Koordination;Motor Coordination Disorders
Bewegungsstörungen;Motor Disturbance
Bewegungsapparat;Motor System
Mund;Mouth
Mund 1;Mouth 1
Mucor Flumbeus;Mucor Flumbeus
Schleimhautschäden;Mucosal Disorder
Überempfindlichkeit Schleimhäute;Mucosal Hypersensitivity
Mukositis;Mucous Inflammation
Multiple Sklerose des Gehirns;Multiple Brain Sclerosis
Multiple Sklerose;Multiple Sclerosis
Multiple-Sklerose 1;Multiple Sclerosis 1
Multiple-Sklerose 10;Multiple Sclerosis 10
Multiple-Sklerose 11;Multiple Sclerosis 11
Multiple-Sklerose 12;Multiple Sclerosis 12
Multiple-Sklerose 2;Multiple Sclerosis 2
Multiple-Sklerose 3;Multiple Sclerosis 3
Multiple-Sklerose 4;Multiple Sclerosis 4
Multiple-Sklerose 5;Multiple Sclerosis 5
Multiple-Sklerose 6;Multiple Sclerosis 6
Multiple-Sklerose 7;Multiple Sclerosis 7
Multiple-Sklerose 8;Multiple Sclerosis 8
Multiple-Sklerose 9;Multiple Sclerosis 9
Multiple Sklerose und Myelitis;Multiple Sclerosis and Myelitis
Multiple Sklerose-Komplexen;Multiple Sclerosis of a Complicated Prognosis
Multiple Sklerose infektiöser Ätiologie;Multiple Sclerosis of Infectious Origin
Mumps;Mumps Virus
Muskeln aufbauen;Muscle Building
Muskelkrämpfe;Muscle Cramps
Muskelermüdung;Muscle Fatigue
Muskelermüdung 1;Muscle Fatigue 1
Muskelermüdung 2;Muscle Fatigue 2
Muskelschmerzen;Muscle Pain
Muskelkrämpfe 1;Muscle Spasm 1
Muskelkrämpfe 2;Muscle Spasm 2
Muskelkrämpfe;Muscle Spasms
Muskelkrämpfe 1;Muscle Spasms 1
Muskelsteifheit;Muscle Stiffness
Muskelsteifheit 1;Muscle Stiffness 1
Muskel-Steifheit 2;Muscle Stiffness 2
Muskelstarre 3;Muscle Stiffness 3
Muskelsteifigkeit Basis;Muscle Stiffness-Basic
Muskelsteifigkeit Komplexe;Muscle Stiffness-Comprehensive
Muskelsteifigkeit Sekundär;Muscle Stiffness-Secondary
Stärkung der Muskeln;Muscle Strengthening
Stärkung der Muskulatur;Muscle Strengthening
Muskelzucken 1;Muscle Twitching 1
Muskel;Muscles
Muskeltonisierung;Muscles Stimulating
Muskelaufbau;Muscles Structure
Muskel Steuerfrequenz;Muscles, Control Frequencies
Muskelaufbau;Muscles, Structure
Muskulatur;Muscular System
Mutierte Grippe;Mutanenized Flu
Kolibazillen Mutation;Mutant-Type Colibacillus
Myalgie;Myalgia
Mycogone spp;Mycogone Spp
Mykoplasmen;Mycoplasma
Mycoplasma Basis;Mycoplasma
Mycoplasma Fermentas;Mycoplasma Fermentans
Mycoplasma Lungenentzündung;Mycoplasma Pneumoniae
Mycoplasma salivariumi;Mycoplasma Salivarium
Mycoplasmose;Mycoplasmosis
Pilzinfektion 1;Mycosis Fungoides 1
Pilzinfektion 2;Mycosis Fungoides 2
Schwäche Rückenmarksentzündung;Myelitis-Weakness
Myocardit.necros;Myocardit. Necros
Myokarditis;Myocarditis
Myome;Myoma
Myom;Myoma
Myom 1;Myoma 1
Myom 2;Myoma 2
Myom 3;Myoma 3
Myom 4;Myoma 4
Myom 5;Myoma 5
Myom 6;Myoma 6
Kurzsichtigkeit;Myopia
Kurzsichtigkeit;Myopia 1
Kurzsichtigkeit;Myopia 2
Muskelentzündung;Myositis
Nagel Mycosis;Nagel Mycosis
Nanobakterien;Nanobacteria
Nanobakterien 1;Nanobacteria 1
Nanobakterien 2;Nanobacteria 2
Nasenpolypen;Nasal Polyp
Nasenpolypen;Nasal Polyps
Nasen-Nebenhöhlen;Nasal Sinuses
Nasen-Rachenraumentzündung 1;Nasopharyngitis 1
Nasen-Rachenraumentzündung 2;Nasopharyngitis 2
Kapuzinerkresse 1;Nasturtium 1
Kapuzinerkresse 2;Nasturtium 2
Übelkeit und Krämpfe;Nausea and Spasms
Nackenkrämpfe;Neck Spasms
Nematoden;Nematodes
Nierenentzündung;Nephritis
Nephritis Nephrose;Nephritis,
Nephrogene Wirkung;Nephrogenic Effect
Nephrolithiasis;Nephrolithiasis
Lithonephria;Nephrolithiasis
Nephrosklerose;Nephroschlerosis
Nephrosklerose 1;Nephroschlerosis 1
Nervenzentrum;Nerve Centre
Nervenzentrum 1;Nerve Centre
Nervendegeneration;Nerve Degenaration
Degeneration der Nerven;Nerve Degenaration
Nerven Steuerfrequenz 2 Störung;Nerve Disorders cf 2
Nerven Steuerfrequenz 1 Störung;Nerve Disorders-Control Frequencies 1
Überempfindlichkeit Nervlich;Nerve Hypersensitivity
Entzündung der Nerven;Nerve Inflammation
Nervenentzündung;Nerve Neuritis
Nerven Stärkung;Nerve Strengthening
Stärkung der Nerven;Nerve Strengthening
Nerven Struktur;Nerve Structure
Nerven;Nerves
Nerven 1;Nerves 1
Nerven Behandlung;Nerves Treatment
Nerven Rechte Hand;Nerves, Right Arm
Nerven Steuerfrequenz 1;Nerves-cf 1
Nerven Steuerfrequenz 2;Nerves-cf 2
Asthenie Nerven;Nervous Asthenia
Regeneration des Nervensystems;Nervous Sytem Restoration
Nervöser Tick;Nervous Tic
Neuralgie;Neuralgia
Neuralgie der Hände;Neuralgia in Arms
Neuralgischen Kopfschmerzen;Neuralgic Pain Headache
Neuritis;Neuritis
Neuro-Kreis Dystonie 1;Neurocirculatory Dystonia 1
Neuro-Kreis Dystonie 2;Neurocirculatory Dystonia 2
Neurodermitis;Neurodermatitis
neurogene Asthma;Neurogenic Asthma
Neurogenes Ekzem;Neurogenic Eczema
Neurologie;Neurology
Neurosen;Neurosis
Angst Neurose;Neurosis
Neurose;Neurosis
Neurotrophe Wirkung;Neutrophilic Effect
Muttermal;Nevus
Hunde-Parvovirus neue;New Canine Parvo-Virus
Neuropathie;Neyropathy
Noduläres Erythem;Nodal Fever
Ekzem-Kein Herpes;Non Herpetic Eczema
Nicht Spastische Lähmung;Non-Spastic Paralysis
Normalisierung der Herztätigkeit;Normalization of Heart Function
Nase;Nose
Nase 1;Nose 1
Steife Muskeln;Nucal Rigidity
Taubheit der Körperteile;Numbness in Different Body Parts
Taubheit Hände-Finger;Numbness in Hands and Fingers
Nymphomanie;Nymphomania
Nymphomanie 1;Nymphomania 1
Übergewicht;Obesity
Fettleibigkeit;Obesity
Fettleibigkeit 1;Obesity 1
Fettleibigkeit 2;Obesity 2
Adipositas 3;Obesity 3
Fettleibigkeit 3;Obesity 3
Fettleibigkeit 4;Obesity 4
Fettleibigkeit 5;Obesity 5
Verschlusskrankheit;Obliterating Endarteritis
Gynäkologie und Geburtshilfe;Obstetrics and Gynaecology
Obstruktive Bronchitis;Obstructive Bronchitis
obstruktive Bronchitis;Obstructive Bronchitis
Hinterkopf/Nacken Schultern vgl;Occiput, Shoulders, cf
Octeo Arthritis;OcteoArthritis
Octeo Arthritis Schmerzen;OcteoArthritis Pain
Augenblutung;Ocular Hemorrage
Odontogene Kopfschmerzen;Odontogenic Headache
Onkologie;Oncology
Trübung des Glaskörpers;Opacity of Vitreous Body
Augen;Ophthalmology
Zentrum Sehvermögen;Optic Centre
Seh-Zentrum 3;Optic Centre 3
Sehnerv;Optic Nerve
Optikus Neuritis;Optic Neuritis
Risse im Mund;Oral Fissure
Herpes Mund;Oral Herpes
Orho-Epididymitis;Orchiepididymitis
Hodenentzündung;Orchitis
Organe Regenerierung;Organ Regeneration
Parrot Krankheit;Ornithosis
Osteochondropathie;Osteochondropathy
Osteochondrosis;Osteochondrosis
Osteochondrosis 1;Osteochondrosis 1
Osteochondrosis 2;Osteochondrosis 2
Knochenerweichung;Osteomalacia
Osteomalazie 1;Osteomalacia 1
Osteomalazie 2;Osteomalacia 2
Osteopathie;Osteopathy
Osteophyten-Knochenauswüchse;Osteophyte
Knochenentzündung;Ostitis
Mittelohrentzündung;Otitis
Otitis 1;Otitis 1
Ohrenentzündung 1;Otitis 1
Ohrenentzündung 2;Otitis 2
Ohrenentzündung 3;Otitis 3
Ohrenentzündung 4;Otitis 4
Ohrenentzündung 5;Otitis 5
Ohrenentzündung 6;Otitis 6
Otitis Externa 1;Otitis externa 1
Akute Mittelohrentzündung;Otitis Media
Mittelohrentzündung-Schwimmen;Otitis-Bathing
Otogene Kopfschmerzen;Otogenic Headache
HNO Hals-Nasen-Ohr;Otolaryngologist
HNO;Otolaryngologist
Otosklerose;OtoSclerosis
Optik Thalamus;Otpic Thalamus
Externes Ohr;Outer ear
Äußeres Ohr 1;Outer Ear 1
Eierstockzyste;Ovarian Cyst
Eierstockfunktionsstörung;Ovarian Dysfunction
Eierstöcke;Ovary
Eierstockfunktion;Ovary
Eierstöcke 2;Ovary 2
Eierstöcke 3;Ovary 3
Oxalurie 1;Oxaluria 1
Oxalurie 2;Oxaluria 2
Sauerstoffaufnahme;Oxygen Consumption
Sauerstoffaufnahme 1;Oxygen Consumption 1
Sauerstoffaufnahme 2;Oxygen Consumption 2
Sauerstoffaufnahme 3;Oxygen Consumption 3
Sauerstoffaufnahme;Oxygen Intake
Schmerz Frequenzen;Pain
Schmerz;Pain
Schmerzen während der Grippe;Pain due to Flu
Schmerzen-Infektion;Pain-Infection
Schmerzen Lähmung;Pain-Paralysis
Bauchspeicheldrüse;Pancreas
Bauchspeicheldrüse 1;Pancreas 1
Pankreas Frequenzsteuerung 2;Pancreas Control Frequencies 2
Degeneration der Bauchspeicheldrüse;Pancreas Degeneration
Erkrankungen der Bauchspeicheldrüse 2;Pancreas Diseases
Parasiten Bauchspeicheldrüse;Pancreas Parasites
Bauchspeicheldrüse-Frequenzsteuerung;Pancreas-Control Frequencies
Bauchspeicheldrüse Frequenzsteuerung;Pancreas-Control Frequencies1
Pankreas Degeneration 1;Pancreatic Degeneration 1
Erkrankungen der Bauchspeicheldrüse 1;Pancreatic Disorders
Pankreatitis;Pancreatitis
Pankreatitis 1;Pancreatitis 1
Pankreatogen;Pancreatogenic
Papillomavirus 1;Papilloma Virus1
Papillomavirus 2;Papilloma Virus2
Papillomavirus 3;Papilloma Virus3
Parodontose;Paradontosis
Lähmung;Paralysis
Lähmung Taubheit;Paralysis, Numbness
Parametritis;Parametritis
Nasennebenhöhle;Paranasal Sinus
Parasiten - Entgiftung;Parasite Detoxification
Parasiten Lymphe;Parasites in Lymphatic System
Parasiten Basis 1;Parasites-Basic 1
Parasiten Basis 2;Parasites-Basic 2
Parasiten Basis-Alternativprogramm;Parasites-Basic Alternative Programme
Parasiten umfassendes Programm 1;Parasites-Basic Comprehensive Programme
Parasiten Allgemein 1;Parasites-Common 1
Parasiten Allgemein 2;Parasites-Commonl 2
Parasiten umfassendes Programm 2;Parasites-Comprehensive
Parasiten Hauptprogramm 1;Parasites-Main 1
Parasiten Hauptprogramm 2;Parasites-Main 2
Parasiten Alternativprogramm;Parasites-Main Alternative
Parasitäres Geschwür;Parasitic Ulcer
Parasympathikus;Parasympathetic System
Nebenschilddrüse;Parathyroid Gland
Nebenschilddrüse 1;Parathyroid Gland 1
Nebenschilddrüse;Parathyroid Glands
Kopfschmerzen Parater Herkunft;Parathyroid Headache
Parese;Paresis
Parese 1;Paresis 1
Parästhesien;Paresthesia
Parkinson-Krankheit;Parkinson Disease
Parkinson;Parkinsonism
Parodontose;Parodontosis
Parvovirus B19;ParvoVirus B19
Entzündung der Beckenorgane;Pelvic Inflammatory Disease
Hüfte;Pelvic Joint
Dysfunktion der Beckenorgane;Pelvic Organs Dysfunction
Blasen-Ödem Haut;Pemphigus
Penis;Penis
Penis 1;Penis 1
Magengeschwür 2;Peptic Ulcer
Erhöhter Säuregehalt;Peracidity
Magensäure;Peracidity
Herzbeutel;Pericard
Herzbeutel 1;Pericard 1
Perikarditis;Pericarditis
Perikarditis 1;Pericarditis 1
Anal Juckreiz;Perinal Itch
Parodontitis;Periodontitis
Parodontitis 1;Periodontosis 1
Knochenhaut;Periosteum
Knochenhaut Entzündung;Periosteum Inflammation
Periostitis;Periostitis
Knochenhautentzündung;Periostitis
Periostitis 1;Periostitis 1
Peripheren Gefäßen;Peripheral Vessels
Peristaltik;Peristalsis
Peristaltik und Mobilität;Peristalsis and Motility
Perniziöse-Anämie;Pernicious Anemia
Chronische persistierende Hepatitis;Persistent Hepatitis
Schwitzen;Perspiration
Keuchhusten;Pertussis
Pertussis 1;Pertussis 1
Nosoden Pertussis;Pertussis Nosode
Keuchhusten Epidemie;Pertussis-Epidemic Parotitis
Entgiftung Pestizide;Pesticide Detoxification
Stimulation Phagozyten Bildung;Phagocytes Formation Stimulation
Stimulation Phagozytose;Phagocytosis Stimulation
Phantomschmerzen;Phantom Pain
Phantomschmerz 2;Phantom Pain 2
Rachenentzündung;Pharyngitis
Rachen;Pharynx
Rachen 1;Pharynx 1
Venenwandentzündung;Phlebitis
Venenentzündung 2;Phlebitis 2
Venenentzündung 3;Phlebitis 3
Venen;Phlebology
Phobie;Phobia
Phosphor und Calcium;Phosphorus and Calcium
Körperliche Müdigkeit;Physical Fatigue
Physiologie;Physiological Effects
Pigmentierung;Pigmentation
Muskeln eingeklemmt;Pinched Muscle
Muskeln eingeklemmt;Pinched Muscles
Eingeklemmter Schulter Nerv;Pinched Shoulder Nerve
Hirnanhangsdrüse;Pituitary Gland
Hypophyse 1;Pituitary Gland 1
Hypophyse 2;Pituitary Gland 2
Hirnanhangsdrüse Störungen;Pituitary Gland Disorders
Hypophysen Eierstock-Achse;Pituitary Gland-Ovary
Hypophyse Kopfschmerzen;Pituitary Headache
Hypophyse-Kopfschmerzen 1;Pituitary Headache 1
Dornwarzen;Plantar Warts
Plasmozytom;Plasmacytoma
Brustfell;Pleura
Pleura 1;Pleura 1
Rippenfellentzündung 1;Pleurisy 1
Rippenfellentzündung;Pleuritis
Pneumokokken;Pneumococcus
Pneumokokken in einer gemischten Flora;Pneumococcus in Mixed Flora
Schlauchpilz;Pneumocystis Carinii
Lungenentzündung;Pneumonia
Pneumonie 1;Pneumonia 1
Polio 1;Poliomyelitis 1
Polio 2;Poliomyelitis 2
Pollenallergie;Pollen Allergy
Pollenallergie 2;Pollen Allergy 2
Pollen Krankheit;Pollinosis
Polyneuropathie;Polyneuropathy
Polypen;Polyps
Prämenstruelles Syndrom;Post Menstrual Syndrome
Komplikationen Grippe;Post-Influenza Complications
Rehabilitation nach Schlaganfall;Post-Stroke Rehabilitation
Operation-Schmerz;Post-Surgery Pain
Hypophysen-Hinterlappen;Posterior Pituitary Gland
Hinterlappe der Hypophyse;Posterior Pituitary Gland
Hypophyse Hinterlappen;Posterior Pituitary Gland
Postoperativen Narben;Postoperative Cicatrix
Posttraumatisches Fieber;Posttraumatic Fever
Posttraumatische Fieber 1;Posttraumatic Fever 1
Schlechte Körperhaltung;Postural Disorder
Kalium und Natrium;Potassium and Sodium
Kalium Wechsel;Potassium Exchange
Kalium-Natrium;Potassium-Sodium
Kopfschmerzen Prämenstruelles Syndrom;Premenstrual Syndrome Headache
Vorbereitung zur Operation;Preparation for Surgery
Vorhaut;Preputium
Vorhaut 1;Preputium 1
Druckgeschwüre;Pressure Ulcers
Aktiver Schutz;Proactive Defence
Proktologie;Proctology
Starke Blutungen;Profuse Bleeding
Starke Blutung 1;Profuse Bleeding 1
Gebärmuttervorfall;Prolapse of Uterus
Prolaps-Gebärmutter;Prolapse of Uterus
Prostata;Prostate
Prostata 1;Prostate 1
Prostata Sklerose;Prostate Sclerosis
Prostata Adenom;Prostatic Adenoma
Prostatitis;Prostatitis
